iter	Passed	Remaining
0	148	148261
1	150	75249
2	153	50919
3	155	38719
4	157	31387
5	160	26599
6	162	23091
7	164	20434
8	166	18350
9	168	16682
10	170	15323
11	172	14193
12	174	13268
13	177	12471
14	179	11764
15	181	11143
16	183	10591
17	185	10100
18	187	9663
19	189	9269
20	193	9027
21	195	8699
22	197	8401
23	199	8121
24	201	7864
25	203	7629
26	205	7412
27	209	7288
28	212	7130
29	217	7028
30	220	6883
31	223	6748
32	226	6628
33	228	6490
34	230	6353
35	232	6223
36	234	6099
37	236	5991
38	239	5895
39	241	5803
40	244	5707
41	245	5610
42	247	5518
43	249	5431
44	252	5348
45	254	5271
46	256	5201
47	258	5127
48	260	5054
49	262	4982
50	264	4914
51	265	4849
52	268	4792
53	270	4734
54	272	4688
55	275	4636
56	276	4580
57	278	4527
58	280	4476
59	282	4427
60	284	4383
61	287	4349
62	289	4307
63	291	4263
64	293	4219
65	295	4177
66	297	4135
67	298	4095
68	300	4056
69	302	4023
70	304	3989
71	306	3954
72	308	3919
73	310	3884
74	312	3851
75	314	3819
76	315	3787
77	317	3756
78	320	3737
79	322	3714
80	325	3687
81	326	3660
82	328	3633
83	330	3606
84	332	3579
85	334	3556
86	336	3533
87	338	3509
88	340	3484
89	342	3460
90	344	3443
91	346	3424
92	348	3402
93	351	3386
94	353	3365
95	355	3344
96	357	3323
97	358	3303
98	360	3283
99	362	3266
100	364	3246
101	367	3231
102	369	3218
103	371	3199
104	373	3182
105	375	3164
106	377	3147
107	379	3130
108	381	3114
109	383	3103
110	385	3090
111	388	3080
112	390	3066
113	392	3050
114	394	3036
115	396	3021
116	399	3011
117	401	3002
118	404	2995
119	407	2989
120	409	2977
121	411	2963
122	414	2953
123	416	2945
124	419	2933
125	420	2919
126	422	2905
127	424	2891
128	426	2877
129	428	2865
130	430	2853
131	432	2846
132	434	2833
133	436	2821
134	438	2808
135	440	2796
136	441	2784
137	443	2772
138	445	2761
139	447	2751
140	449	2740
141	451	2729
142	453	2718
143	455	2707
144	457	2697
145	459	2686
146	461	2676
147	463	2666
148	465	2656
149	466	2645
150	468	2635
151	470	2625
152	472	2614
153	474	2604
154	475	2594
155	477	2584
156	480	2579
157	482	2569
158	483	2559
159	485	2550
160	487	2540
161	489	2531
162	491	2523
163	493	2515
164	495	2508
165	497	2499
166	499	2490
167	501	2481
168	502	2472
169	504	2464
170	506	2455
171	508	2450
172	512	2450
173	517	2455
174	519	2451
175	522	2446
176	539	2510
177	542	2506
178	545	2502
179	548	2499
180	551	2493
181	553	2489
182	556	2485
183	559	2482
184	562	2479
185	565	2474
186	568	2469
187	570	2465
188	572	2457
189	574	2451
190	576	2443
191	578	2435
192	580	2427
193	582	2419
194	584	2412
195	586	2407
196	588	2399
197	590	2393
198	592	2385
199	594	2378
200	596	2371
201	598	2363
202	600	2357
203	603	2353
204	605	2346
205	607	2341
206	609	2336
207	611	2329
208	613	2322
209	615	2316
210	617	2309
211	619	2302
212	621	2295
213	624	2291
214	626	2286
215	628	2279
216	629	2273
217	631	2266
218	633	2259
219	635	2252
220	637	2246
221	639	2240
222	641	2233
223	642	2227
224	644	2221
225	646	2214
226	648	2208
227	650	2202
228	652	2195
229	654	2190
230	656	2183
231	657	2177
232	659	2172
233	661	2166
234	663	2160
235	665	2154
236	667	2148
237	669	2142
238	671	2138
239	673	2132
240	675	2126
241	677	2120
242	678	2114
243	680	2108
244	682	2103
245	684	2097
246	686	2091
247	688	2087
248	690	2081
249	692	2076
250	693	2070
251	695	2065
252	697	2060
253	699	2055
254	701	2049
255	703	2044
256	705	2039
257	707	2034
258	709	2029
259	711	2023
260	712	2018
261	714	2013
262	716	2007
263	718	2002
264	720	1999
265	723	1997
266	725	1992
267	727	1987
268	729	1982
269	731	1977
270	733	1972
271	736	1969
272	738	1967
273	740	1962
274	742	1957
275	744	1952
276	746	1947
277	747	1942
278	749	1937
279	752	1934
280	754	1930
281	756	1925
282	757	1920
283	759	1915
284	761	1911
285	763	1906
286	765	1901
287	767	1898
288	769	1893
289	771	1889
290	773	1884
291	775	1880
292	777	1875
293	779	1871
294	781	1866
295	784	1864
296	786	1861
297	788	1856
298	789	1852
299	791	1847
300	793	1842
301	795	1838
302	797	1834
303	801	1833
304	803	1830
305	805	1826
306	807	1821
307	808	1817
308	810	1813
309	812	1809
310	814	1805
311	817	1802
312	819	1799
313	821	1794
314	823	1790
315	825	1786
316	827	1781
317	829	1778
318	831	1774
319	833	1771
320	835	1767
321	837	1763
322	839	1759
323	841	1755
324	843	1751
325	844	1747
326	847	1743
327	849	1740
328	851	1736
329	853	1732
330	855	1728
331	857	1724
332	858	1720
333	861	1717
334	863	1713
335	865	1710
336	867	1706
337	869	1702
338	870	1698
339	872	1694
340	874	1690
341	876	1686
342	878	1682
343	880	1679
344	882	1675
345	884	1671
346	886	1668
347	888	1664
348	890	1661
349	896	1664
350	900	1664
351	907	1669
352	914	1676
353	917	1673
354	919	1671
355	923	1670
356	931	1677
357	939	1683
358	941	1681
359	944	1679
360	947	1676
361	949	1674
362	952	1671
363	954	1668
364	957	1665
365	959	1662
366	962	1659
367	964	1656
368	966	1652
369	968	1648
370	970	1644
371	972	1641
372	973	1637
373	976	1634
374	978	1630
375	980	1627
376	982	1624
377	984	1620
378	986	1616
379	988	1612
380	990	1608
381	992	1606
382	994	1602
383	997	1599
384	999	1596
385	1001	1593
386	1003	1589
387	1005	1585
388	1007	1582
389	1009	1579
390	1012	1576
391	1014	1572
392	1015	1569
393	1017	1565
394	1019	1561
395	1021	1557
396	1023	1554
397	1025	1551
398	1027	1547
399	1029	1544
400	1031	1540
401	1033	1536
402	1034	1533
403	1036	1529
404	1038	1525
405	1040	1523
406	1042	1519
407	1044	1515
408	1046	1512
409	1048	1508
410	1050	1505
411	1052	1501
412	1054	1498
413	1056	1495
414	1058	1492
415	1060	1488
416	1062	1485
417	1064	1481
418	1066	1478
419	1067	1474
420	1069	1471
421	1071	1468
422	1074	1465
423	1076	1462
424	1078	1459
425	1080	1455
426	1082	1452
427	1084	1448
428	1085	1445
429	1088	1442
430	1090	1439
431	1092	1436
432	1094	1432
433	1095	1429
434	1097	1425
435	1099	1422
436	1101	1418
437	1104	1416
438	1106	1413
439	1108	1410
440	1110	1407
441	1111	1403
442	1113	1400
443	1115	1397
444	1117	1393
445	1119	1391
446	1122	1388
447	1123	1384
448	1125	1381
449	1127	1378
450	1129	1374
451	1131	1371
452	1133	1368
453	1135	1365
454	1137	1362
455	1139	1359
456	1141	1355
457	1142	1352
458	1144	1349
459	1146	1345
460	1148	1342
461	1150	1340
462	1154	1339
463	1157	1336
464	1160	1334
465	1162	1332
466	1165	1330
467	1169	1329
468	1172	1327
469	1175	1325
470	1177	1323
471	1181	1321
472	1185	1321
473	1188	1318
474	1191	1316
475	1194	1314
476	1198	1314
477	1202	1313
478	1205	1311
479	1207	1308
480	1209	1305
481	1211	1301
482	1213	1298
483	1215	1295
484	1218	1293
485	1220	1290
486	1222	1287
487	1224	1284
488	1226	1281
489	1227	1277
490	1229	1274
491	1232	1272
492	1234	1269
493	1235	1265
494	1237	1262
495	1239	1259
496	1242	1257
497	1243	1253
498	1245	1250
499	1248	1248
500	1250	1245
501	1252	1242
502	1253	1238
503	1255	1235
504	1257	1232
505	1259	1229
506	1261	1226
507	1263	1223
508	1265	1220
509	1267	1217
510	1269	1214
511	1271	1211
512	1273	1208
513	1274	1205
514	1276	1202
515	1278	1199
516	1281	1196
517	1283	1194
518	1285	1191
519	1287	1188
520	1289	1185
521	1291	1182
522	1293	1179
523	1295	1176
524	1297	1173
525	1299	1170
